Iteration, Loss, PSNR_noisy, PSNR_gt 
00000, 0.066746, 11.755721, 12.353993, 12.353993 
00001, 0.053654, 12.703993, 13.471405, 12.371368 
00002, 0.048120, 13.176759, 14.044721, 12.395252 
00003, 0.044663, 13.500492, 14.445638, 12.423328 
00004, 0.042159, 13.751078, 14.761221, 12.454619 
00005, 0.040211, 13.956505, 15.025639, 12.488459 
00006, 0.038592, 14.135057, 15.259459, 12.524369 
00007, 0.037163, 14.298843, 15.475826, 12.561908 
00008, 0.035881, 14.451399, 15.679106, 12.600684 
00009, 0.034728, 14.593250, 15.870031, 12.640448 
00010, 0.033676, 14.726751, 16.051695, 12.681137 
00011, 0.032689, 14.856049, 16.229202, 12.722726 
00012, 0.031772, 14.979527, 16.400351, 12.765123 
00013, 0.030920, 15.097621, 16.566073, 12.808202 
00014, 0.030132, 15.209761, 16.725249, 12.851877 
00015, 0.029390, 15.318049, 16.880660, 12.896151 
00016, 0.028678, 15.424561, 17.035350, 12.941029 
00017, 0.028009, 15.527053, 17.186225, 12.986467 
00018, 0.027375, 15.626478, 17.334145, 13.032428 
00019, 0.026771, 15.723407, 17.479427, 13.078864 
00020, 0.026199, 15.817219, 17.621624, 13.125791 
00021, 0.025656, 15.908052, 17.761046, 13.173279 
00022, 0.025145, 15.995563, 17.896732, 13.221321 
00023, 0.024661, 16.079936, 18.028981, 13.269797 
00024, 0.024196, 16.162624, 18.160137, 13.318625 
00025, 0.023756, 16.242326, 18.288028, 13.367796 
00026, 0.023339, 16.319176, 18.412946, 13.417318 
00027, 0.022941, 16.393914, 18.535577, 13.467188 
00028, 0.022559, 16.466854, 18.656223, 13.517379 
00029, 0.022196, 16.537258, 18.774030, 13.567848 
00030, 0.021850, 16.605505, 18.889132, 13.618609 
00031, 0.021523, 16.670902, 19.001167, 13.669597 
00032, 0.021224, 16.731773, 19.105375, 13.720894 
00033, 0.020959, 16.786388, 19.201920, 13.772393 
00034, 0.020636, 16.853761, 19.318523, 13.824193 
00035, 0.020323, 16.920220, 19.437957, 13.876287 
00036, 0.020062, 16.976275, 19.538704, 13.928509 
00037, 0.019794, 17.034585, 19.643555, 13.980999 
00038, 0.019537, 17.091511, 19.749016, 14.033765 
00039, 0.019292, 17.146328, 19.850861, 14.086624 
00040, 0.019054, 17.200063, 19.951448, 14.139738 
00041, 0.018847, 17.247524, 20.041849, 14.192948 
00042, 0.018648, 17.293616, 20.131122, 14.246475 
00043, 0.018489, 17.330786, 20.201857, 14.299921 
00044, 0.018286, 17.378801, 20.298791, 14.353854 
00045, 0.018076, 17.429026, 20.395009, 14.407818 
00046, 0.017904, 17.470495, 20.480487, 14.461977 
00047, 0.017771, 17.502925, 20.541595, 14.516105 
00048, 0.017556, 17.555703, 20.653645, 14.570737 
00049, 0.017436, 17.585525, 20.712211, 14.625124 
00050, 0.017344, 17.608604, 20.760145, 14.679746 
00051, 0.017092, 17.672090, 20.892335, 14.734476 
00052, 0.016944, 17.709954, 20.973011, 14.789352 
00053, 0.016834, 17.738158, 21.034578, 14.844407 
00054, 0.016667, 17.781457, 21.125145, 14.899417 
00055, 0.016538, 17.815187, 21.198329, 14.954654 
00056, 0.016401, 17.851227, 21.277393, 15.010099 
00057, 0.016288, 17.881430, 21.345530, 15.065458 
00058, 0.016153, 17.917469, 21.424795, 15.120915 
00059, 0.016034, 17.949504, 21.499006, 15.176636 
00060, 0.015931, 17.977669, 21.560704, 15.232291 
00061, 0.015840, 18.002377, 21.620022, 15.288155 
00062, 0.015780, 18.018867, 21.653600, 15.343865 
00063, 0.015800, 18.013478, 21.645817, 15.399690 
00064, 0.015826, 18.006337, 21.626307, 15.455445 
00065, 0.015634, 18.059362, 21.751262, 15.511415 
00066, 0.015425, 18.117805, 21.890153, 15.567272 
