Iteration, Loss, PSNR_noisy, PSNR_gt 
00000, 0.112475, 9.489440, 9.832356, 9.832356 
00001, 0.086202, 10.644835, 11.100818, 9.858276 
00002, 0.073133, 11.358862, 11.903699, 9.890525 
00003, 0.063636, 11.962977, 12.600233, 9.928715 
00004, 0.056673, 12.466256, 13.189885, 9.971021 
00005, 0.051307, 12.898199, 13.706112, 10.016844 
00006, 0.047718, 13.213159, 14.089222, 10.065570 
00007, 0.044840, 13.483310, 14.423537, 10.117041 
00008, 0.042816, 13.683956, 14.675462, 10.170783 
00009, 0.043394, 13.625729, 14.603715, 10.224837 
00010, 0.040346, 13.941978, 15.004805, 10.282495 
00011, 0.039816, 13.999414, 15.079045, 10.341634 
00012, 0.039448, 14.039774, 15.132299, 10.402053 
00013, 0.039329, 14.052849, 15.149583, 10.463363 
00014, 0.039244, 14.062294, 15.162610, 10.525429 
00015, 0.039289, 14.057259, 15.156519, 10.587856 
00016, 0.039292, 14.056909, 15.156071, 10.650482 
00017, 0.039395, 14.045632, 15.141531, 10.713064 
00018, 0.040036, 13.975504, 15.052200, 10.774739 
00019, 0.039382, 14.047036, 15.142091, 10.836590 
00020, 0.039330, 14.052726, 15.148753, 10.897915 
00021, 0.039288, 14.057396, 15.154173, 10.958550 
00022, 0.040493, 13.926180, 14.986713, 11.017766 
00023, 0.039168, 14.070659, 15.169748, 11.076843 
00024, 0.039094, 14.078948, 15.179933, 11.135092 
00025, 0.039016, 14.087616, 15.190733, 11.192508 
00026, 0.039179, 14.069505, 15.167589, 11.249224 
00027, 0.039069, 14.081704, 15.184368, 11.305152 
00028, 0.038737, 14.118726, 15.230489, 11.360093 
00029, 0.038635, 14.130151, 15.245294, 11.414250 
00030, 0.038581, 14.136231, 15.253336, 11.467821 
00031, 0.038474, 14.148340, 15.268957, 11.520485 
00032, 0.038970, 14.092675, 15.199520, 11.573021 
00033, 0.038942, 14.095827, 15.203859, 11.625004 
00034, 0.038265, 14.171937, 15.299734, 11.675371 
00035, 0.038293, 14.168761, 15.295919, 11.725227 
00036, 0.038210, 14.178243, 15.307463, 11.774160 
00037, 0.038156, 14.184393, 15.315571, 11.822541 
00038, 0.038213, 14.177886, 15.307958, 11.870637 
00039, 0.038061, 14.195228, 15.330124, 11.918287 
00040, 0.038087, 14.192251, 15.326641, 11.965592 
00041, 0.037982, 14.204257, 15.341644, 12.012384 
