Iteration, Loss, PSNR_noisy, PSNR_gt 
00000, 0.104213, 9.820782, 10.186909, 10.186909 
00001, 0.098527, 10.064446, 10.453325, 10.192977 
00002, 0.095353, 10.206644, 10.609303, 10.202978 
00003, 0.093203, 10.305713, 10.718490, 10.215522 
00004, 0.091328, 10.393958, 10.816128, 10.229702 
00005, 0.089460, 10.483696, 10.915655, 10.245044 
00006, 0.087688, 10.570588, 11.012231, 10.261223 
00007, 0.086075, 10.651250, 11.102058, 10.278010 
00008, 0.084581, 10.727274, 11.186855, 10.295264 
00009, 0.083142, 10.801813, 11.270112, 10.312928 
00010, 0.081729, 10.876217, 11.353344, 10.331002 
00011, 0.080349, 10.950199, 11.436247, 10.349516 
00012, 0.079006, 11.023376, 11.518409, 10.368507 
00013, 0.077697, 11.095985, 11.600113, 10.388010 
00014, 0.076410, 11.168507, 11.681920, 10.408049 
00015, 0.075144, 11.241067, 11.763980, 10.428636 
00016, 0.073904, 11.313310, 11.845892, 10.449768 
00017, 0.072699, 11.384716, 11.927053, 10.471429 
00018, 0.071532, 11.455023, 12.007142, 10.493590 
00019, 0.070397, 11.524439, 12.086372, 10.516221 
00020, 0.069289, 11.593368, 12.165195, 10.539297 
00021, 0.068203, 11.661980, 12.243806, 10.562800 
00022, 0.067141, 11.730139, 12.322061, 10.586719 
00023, 0.066105, 11.797677, 12.399780, 10.611050 
00024, 0.065094, 11.864607, 12.476994, 10.635793 
00025, 0.064105, 11.931051, 12.553853, 10.660951 
00026, 0.063139, 11.997025, 12.630385, 10.686527 
00027, 0.062196, 12.062368, 12.706400, 10.712522 
00028, 0.061279, 12.126856, 12.781633, 10.738932 
00029, 0.060390, 12.190368, 12.855927, 10.765749 
00030, 0.059526, 12.252922, 12.929293, 10.792963 
00031, 0.058687, 12.314598, 13.001809, 10.820559 
00032, 0.057871, 12.375421, 13.073499, 10.848525 
00033, 0.057078, 12.435349, 13.144304, 10.876847 
00034, 0.056308, 12.494314, 13.214136, 10.905514 
00035, 0.055561, 12.552263, 13.282928, 10.934518 
00036, 0.054838, 12.609168, 13.350637, 10.963853 
00037, 0.054138, 12.665014, 13.417239, 10.993516 
00038, 0.053459, 12.719772, 13.482697, 11.023506 
00039, 0.052803, 12.773390, 13.546944, 11.053822 
00040, 0.052170, 12.825791, 13.609888, 11.084460 
00041, 0.051560, 12.876900, 13.671436, 11.115415 
00042, 0.050972, 12.926677, 13.731540, 11.146681 
00043, 0.050406, 12.975139, 13.790214, 11.178245 
00044, 0.049862, 13.022334, 13.847510, 11.210097 
00045, 0.049337, 13.068308, 13.903471, 11.242222 
00046, 0.048831, 13.113075, 13.958099, 11.274604 
00047, 0.048344, 13.156613, 14.011353, 11.307229 
00048, 0.047875, 13.198893, 14.063184, 11.340081 
00049, 0.047425, 13.239901, 14.113562, 11.373146 
00050, 0.046993, 13.279647, 14.162491, 11.406412 
00051, 0.046578, 13.318159, 14.210000, 11.439868 
00052, 0.046180, 13.355460, 14.256112, 11.473503 
00053, 0.045798, 13.391559, 14.300834, 11.507308 
00054, 0.045431, 13.426454, 14.344158, 11.541274 
00055, 0.045080, 13.460151, 14.386082, 11.575392 
00056, 0.044744, 13.492667, 14.426620, 11.609650 
00057, 0.044422, 13.524029, 14.465796, 11.644038 
00058, 0.044114, 13.554267, 14.503635, 11.678545 
00059, 0.043819, 13.583407, 14.540162, 11.713158 
00060, 0.043536, 13.611471, 14.575398, 11.747865 
00061, 0.043267, 13.638482, 14.609362, 11.782655 
00062, 0.043008, 13.664459, 14.642074, 11.817516 
00063, 0.042762, 13.689422, 14.673557, 11.852436 
00064, 0.042527, 13.713400, 14.703843, 11.887405 
00065, 0.042302, 13.736423, 14.732966, 11.922410 
00066, 0.042087, 13.758519, 14.760961, 11.957442 
00067, 0.041882, 13.779715, 14.787857, 11.992489 
00068, 0.041687, 13.800032, 14.813680, 12.027542 
00069, 0.041500, 13.819496, 14.838458, 12.062588 
00070, 0.041322, 13.838137, 14.862224, 12.097619 
00071, 0.041153, 13.855985, 14.885010, 12.132624 
00072, 0.040991, 13.873070, 14.906849, 12.167594 
00073, 0.040837, 13.889416, 14.927768, 12.202520 
00074, 0.040691, 13.905047, 14.947790, 12.237393 
00075, 0.040551, 13.919986, 14.966944, 12.272205 
00076, 0.040418, 13.934258, 14.985260, 12.306946 
00077, 0.040291, 13.947888, 15.002767, 12.341609 
00078, 0.040171, 13.960900, 15.019499, 12.376185 
