Iteration, Loss, PSNR_noisy, PSNR_gt 
00000, 0.103161, 9.864841, 10.236655, 10.236655 
00001, 0.097413, 10.113832, 10.509138, 10.243250 
00002, 0.094283, 10.255667, 10.664821, 10.255626 
00003, 0.091699, 10.376364, 10.797431, 10.270370 
00004, 0.089508, 10.481399, 10.912993, 10.285889 
00005, 0.087639, 10.573029, 11.014151, 10.301853 
00006, 0.085895, 10.660313, 11.110883, 10.318422 
00007, 0.084296, 10.741938, 11.201653, 10.335709 
00008, 0.082804, 10.819483, 11.288172, 10.353731 
00009, 0.081356, 10.896098, 11.373894, 10.372455 
00010, 0.079942, 10.972243, 11.459277, 10.391807 
00011, 0.078586, 11.046530, 11.542741, 10.411693 
00012, 0.077297, 11.118395, 11.623664, 10.432033 
00013, 0.076058, 11.188562, 11.702872, 10.452770 
00014, 0.074847, 11.258267, 11.781763, 10.473871 
00015, 0.073653, 11.328071, 11.860968, 10.495327 
00016, 0.072486, 11.397457, 11.939897, 10.517141 
00017, 0.071358, 11.465594, 12.017593, 10.539320 
00018, 0.070267, 11.532469, 12.094025, 10.561872 
00019, 0.069200, 11.598937, 12.170156, 10.584808 
00020, 0.068145, 11.665679, 12.246762, 10.608146 
00021, 0.067103, 11.732557, 12.323690, 10.631895 
00022, 0.066084, 11.799014, 12.400303, 10.656058 
00023, 0.065092, 11.864751, 12.476261, 10.680628 
00024, 0.064123, 11.929872, 12.551680, 10.705591 
00025, 0.063175, 11.994579, 12.626797, 10.730931 
00026, 0.062245, 12.058935, 12.701688, 10.756635 
00027, 0.061336, 12.122823, 12.776215, 10.782694 
00028, 0.060451, 12.185994, 12.850088, 10.809105 
00029, 0.059591, 12.248227, 12.923047, 10.835868 
00030, 0.058756, 12.309442, 12.994996, 10.862985 
00031, 0.057947, 12.369661, 13.065956, 10.890458 
00032, 0.057162, 12.428890, 13.135933, 10.918284 
00033, 0.056401, 12.487097, 13.204883, 10.946457 
00034, 0.055663, 12.544300, 13.272819, 10.974966 
00035, 0.054947, 12.600580, 13.339832, 11.003800 
00036, 0.054250, 12.655969, 13.405948, 11.032948 
00037, 0.053575, 12.710351, 13.471022, 11.062403 
00038, 0.052923, 12.763552, 13.534836, 11.092157 
00039, 0.052294, 12.815500, 13.597296, 11.122206 
00040, 0.051686, 12.866258, 13.658471, 11.152548 
00041, 0.051099, 12.915904, 13.718454, 11.183182 
00042, 0.050531, 12.964449, 13.777253, 11.214104 
00043, 0.049982, 13.011853, 13.834816, 11.245310 
00044, 0.049453, 13.058073, 13.891085, 11.276789 
00045, 0.048943, 13.103072, 13.946003, 11.308529 
00046, 0.048453, 13.146825, 13.999529, 11.340517 
00047, 0.047981, 13.189348, 14.051672, 11.372740 
00048, 0.047526, 13.230684, 14.102468, 11.405185 
00049, 0.047089, 13.270851, 14.151934, 11.437842 
00050, 0.046668, 13.309839, 14.200048, 11.470705 
00051, 0.046263, 13.347640, 14.246796, 11.503764 
00052, 0.045875, 13.384267, 14.292187, 11.537010 
00053, 0.045502, 13.419729, 14.336230, 11.570432 
00054, 0.045144, 13.454014, 14.378903, 11.604017 
00055, 0.044801, 13.487114, 14.420192, 11.637749 
00056, 0.044473, 13.519051, 14.460115, 11.671615 
00057, 0.044158, 13.549867, 14.498712, 11.705600 
00058, 0.043857, 13.579593, 14.536015, 11.739696 
00059, 0.043569, 13.608247, 14.572036, 11.773893 
00060, 0.043293, 13.635847, 14.606787, 11.808184 
00061, 0.043029, 13.662409, 14.640284, 11.842560 
00062, 0.042776, 13.687953, 14.672543, 11.877013 
00063, 0.042535, 13.712499, 14.703588, 11.911531 
00064, 0.042305, 13.736075, 14.733447, 11.946099 
00065, 0.042085, 13.758706, 14.762149, 11.980706 
00066, 0.041875, 13.780415, 14.789718, 12.015340 
00067, 0.041675, 13.801226, 14.816180, 12.049990 
00068, 0.041484, 13.821167, 14.841569, 12.084649 
00069, 0.041302, 13.840271, 14.865921, 12.119309 
00070, 0.041129, 13.858564, 14.889268, 12.153962 
00071, 0.040963, 13.876070, 14.911640, 12.188596 
00072, 0.040805, 13.892815, 14.933064, 12.223201 
00073, 0.040655, 13.908821, 14.953566, 12.257767 
00074, 0.040513, 13.924108, 14.973170, 12.292283 
00075, 0.040377, 13.938699, 14.991901, 12.326742 
00076, 0.040247, 13.952621, 15.009792, 12.361135 
00077, 0.040125, 13.965903, 15.026879, 12.395456 
00078, 0.040008, 13.978572, 15.043192, 12.429697 
00079, 0.039896, 13.990653, 15.058762, 12.463849 
00080, 0.039791, 14.002169, 15.073617, 12.497902 
00081, 0.039690, 14.013141, 15.087782, 12.531847 
00082, 0.039595, 14.023591, 15.101285, 12.565675 
00083, 0.039504, 14.033540, 15.114151, 12.599377 
00084, 0.039418, 14.043008, 15.126406, 12.632949 
00085, 0.039337, 14.052016, 15.138073, 12.666382 
00086, 0.039259, 14.060582, 15.149178, 12.699669 
00087, 0.039186, 14.068728, 15.159744, 12.732804 
00088, 0.039116, 14.076472, 15.169795, 12.765778 
00089, 0.039050, 14.083832, 15.179351, 12.798584 
00090, 0.038987, 14.090824, 15.188434, 12.831215 
00091, 0.038927, 14.097466, 15.197063, 12.863665 
00092, 0.038871, 14.103774, 15.205261, 12.895928 
00093, 0.038817, 14.109764, 15.213048, 12.928001 
00094, 0.038766, 14.115450, 15.220444, 12.959877 
00095, 0.038718, 14.120849, 15.227470, 12.991552 
00096, 0.038673, 14.125972, 15.234143, 13.023021 
00097, 0.038629, 14.130835, 15.240477, 13.054278 
00098, 0.038588, 14.135448, 15.246489, 13.085320 
00099, 0.038549, 14.139825, 15.252193, 13.116142 
00100, 0.038513, 14.143978, 15.257604, 13.146738 
00101, 0.038478, 14.147917, 15.262736, 13.177105 
00102, 0.038445, 14.151653, 15.267603, 13.207239 
00103, 0.038413, 14.155197, 15.272220, 13.237135 
00104, 0.038383, 14.158558, 15.276600, 13.266791 
00105, 0.038355, 14.161747, 15.280755, 13.296203 
00106, 0.038329, 14.164771, 15.284698, 13.325368 
00107, 0.038303, 14.167640, 15.288439, 13.354285 
00108, 0.038279, 14.170362, 15.291989, 13.382949 
00109, 0.038257, 14.172945, 15.295357, 13.411358 
00110, 0.038235, 14.175395, 15.298553, 13.439510 
00111, 0.038214, 14.177721, 15.301586, 13.467400 
00112, 0.038195, 14.179929, 15.304463, 13.495028 
00113, 0.038177, 14.182025, 15.307194, 13.522392 
00114, 0.038159, 14.184016, 15.309787, 13.549490 
00115, 0.038143, 14.185907, 15.312249, 13.576320 
00116, 0.038127, 14.187704, 15.314589, 13.602881 
00117, 0.038112, 14.189412, 15.316812, 13.629172 
00118, 0.038097, 14.191036, 15.318925, 13.655192 
00119, 0.038084, 14.192581, 15.320935, 13.680939 
00120, 0.038071, 14.194052, 15.322846, 13.706413 
00121, 0.038059, 14.195453, 15.324664, 13.731613 
00122, 0.038047, 14.196788, 15.326396, 13.756539 
00123, 0.038036, 14.198061, 15.328047, 13.781190 
00124, 0.038025, 14.199275, 15.329621, 13.805565 
00125, 0.038015, 14.200435, 15.331124, 13.829666 
00126, 0.038005, 14.201544, 15.332560, 13.853491 
00127, 0.037996, 14.202606, 15.333933, 13.877040 
00128, 0.037987, 14.203622, 15.335245, 13.900314 
00129, 0.037979, 14.204597, 15.336503, 13.923313 
00130, 0.037971, 14.205534, 15.337710, 13.946038 
00131, 0.037963, 14.206434, 15.338869, 13.968489 
00132, 0.037955, 14.207302, 15.339984, 13.990667 
00133, 0.037948, 14.208139, 15.341059, 14.012572 
00134, 0.037941, 14.208948, 15.342096, 14.034206 
00135, 0.037934, 14.209732, 15.343099, 14.055568 
00136, 0.037927, 14.210493, 15.344071, 14.076661 
00137, 0.037921, 14.211234, 15.345015, 14.097486 
00138, 0.037914, 14.211957, 15.345935, 14.118043 
00139, 0.037908, 14.212665, 15.346833, 14.138333 
00140, 0.037902, 14.213360, 15.347715, 14.158359 
00141, 0.037896, 14.214045, 15.348582, 14.178121 
00142, 0.037890, 14.214723, 15.349439, 14.197622 
00143, 0.037884, 14.215397, 15.350289, 14.216862 
00144, 0.037879, 14.216071, 15.351136, 14.235843 
00145, 0.037873, 14.216747, 15.351985, 14.254568 
00146, 0.037867, 14.217430, 15.352842, 14.273038 
00147, 0.037861, 14.218127, 15.353714, 14.291255 
00148, 0.037854, 14.218843, 15.354608, 14.309222 
00149, 0.037848, 14.219586, 15.355537, 14.326940 
00150, 0.037841, 14.220369, 15.356513, 14.344413 
00151, 0.037834, 14.221205, 15.357556, 14.361642 
00152, 0.037826, 14.222115, 15.358693, 14.378631 
00153, 0.037817, 14.223126, 15.359958, 14.395382 
00154, 0.037807, 14.224278, 15.361402, 14.411900 
00155, 0.037795, 14.225623, 15.363093, 14.428187 
00156, 0.037781, 14.227237, 15.365127, 14.444251 
00157, 0.037764, 14.229223, 15.367638, 14.460095 
00158, 0.037742, 14.231726, 15.370814, 14.475728 
00159, 0.037714, 14.234949, 15.374915, 14.491160 
00160, 0.037677, 14.239182, 15.380318, 14.506402 
00161, 0.037628, 14.244851, 15.387573, 14.521472 
00162, 0.037561, 14.252621, 15.397534, 14.536394 
00163, 0.037467, 14.263491, 15.411554, 14.551202 
00164, 0.037360, 14.275921, 15.427200, 14.565911 
00165, 0.038127, 14.187676, 15.313250, 14.579676 
00166, 0.041634, 13.805513, 14.817582, 14.590397 
00167, 0.037702, 14.236325, 15.377368, 14.604352 
00168, 0.038883, 14.102420, 15.204403, 14.616939 
00169, 0.038737, 14.118684, 15.225947, 14.629480 
00170, 0.038319, 14.165864, 15.287306, 14.642200 
00171, 0.038136, 14.186631, 15.314019, 14.654790 
00172, 0.038146, 14.185530, 15.312104, 14.667070 
00173, 0.038181, 14.181557, 15.306504, 14.679068 
00174, 0.038163, 14.183585, 15.308863, 14.690893 
00175, 0.038101, 14.190622, 15.317911, 14.702632 
00176, 0.038030, 14.198784, 15.328579, 14.714318 
00177, 0.037972, 14.205355, 15.337288, 14.725950 
00178, 0.037936, 14.209530, 15.342928, 14.737499 
00179, 0.037916, 14.211778, 15.346055, 14.748934 
00180, 0.037905, 14.213016, 15.347822, 14.760224 
00181, 0.037896, 14.214030, 15.349240, 14.771352 
00182, 0.037886, 14.215248, 15.350861, 14.782306 
00183, 0.037873, 14.216745, 15.352797, 14.793083 
00184, 0.037858, 14.218379, 15.354879, 14.803685 
00185, 0.037845, 14.219937, 15.356844, 14.814115 
00186, 0.037833, 14.221256, 15.358494, 14.824378 
00187, 0.037824, 14.222296, 15.359793, 14.834476 
00188, 0.037817, 14.223159, 15.360880, 14.844410 
00189, 0.037809, 14.224025, 15.361993, 14.854183 
00190, 0.037800, 14.225045, 15.363330, 14.863795 
00191, 0.037790, 14.226253, 15.364926, 14.873245 
00192, 0.037779, 14.227546, 15.366637, 14.882535 
00193, 0.037768, 14.228763, 15.368242, 14.891663 
00194, 0.037759, 14.229782, 15.369572, 14.900630 
00195, 0.037752, 14.230585, 15.370600, 14.909436 
00196, 0.037746, 14.231252, 15.371429, 14.918084 
00197, 0.037741, 14.231897, 15.372214, 14.926579 
00198, 0.037735, 14.232610, 15.373074, 14.934926 
00199, 0.037728, 14.233415, 15.374052, 14.943127 
00200, 0.037720, 14.234294, 15.375126, 14.951186 
00201, 0.037712, 14.235213, 15.376258, 14.959104 
00202, 0.037704, 14.236156, 15.377426, 14.966880 
00203, 0.037695, 14.237119, 15.378629, 14.974514 
00204, 0.037687, 14.238100, 15.379860, 14.982007 
00205, 0.037678, 14.239082, 15.381101, 14.989359 
00206, 0.037670, 14.240055, 15.382335, 14.996574 
00207, 0.037661, 14.241027, 15.383574, 15.003659 
00208, 0.037653, 14.242034, 15.384868, 15.010619 
00209, 0.037643, 14.243123, 15.386276, 15.017464 
00210, 0.037633, 14.244321, 15.387836, 15.024202 
00211, 0.037622, 14.245627, 15.389542, 15.030840 
00212, 0.037610, 14.247021, 15.391363, 15.037382 
00213, 0.037597, 14.248493, 15.393281, 15.043830 
00214, 0.037583, 14.250058, 15.395311, 15.050184 
00215, 0.037569, 14.251746, 15.397490, 15.056444 
00216, 0.037553, 14.253588, 15.399858, 15.062609 
00217, 0.037535, 14.255610, 15.402450, 15.068680 
00218, 0.037516, 14.257837, 15.405305, 15.074661 
00219, 0.037495, 14.260310, 15.408480, 15.080557 
00220, 0.037471, 14.263082, 15.412048, 15.086377 
00221, 0.037444, 14.266212, 15.416086, 15.092128 
00222, 0.037413, 14.269775, 15.420686, 15.097819 
00223, 0.037378, 14.273878, 15.425986, 15.103457 
00224, 0.037336, 14.278680, 15.432190, 15.109049 
00225, 0.037287, 14.284414, 15.439608, 15.114608 
00226, 0.037227, 14.291438, 15.448714, 15.120148 
00227, 0.037151, 14.300332, 15.460287, 15.125696 
00228, 0.037050, 14.312065, 15.475603, 15.131293 
00229, 0.036912, 14.328267, 15.496804, 15.136999 
00230, 0.036714, 14.351670, 15.527479, 15.142908 
00231, 0.036426, 14.385926, 15.572464, 15.149171 
00232, 0.036040, 14.432138, 15.633344, 15.155975 
00233, 0.035588, 14.486966, 15.706002, 15.163494 
00234, 0.035008, 14.558313, 15.801379, 15.172039 
00235, 0.034241, 14.654507, 15.929998, 15.182191 
00236, 0.033475, 14.752794, 16.062115, 15.194750 
00237, 0.033505, 14.748902, 16.058901, 15.209263 
00238, 0.046528, 13.322836, 14.210536, 15.214164 
00239, 0.037241, 14.289799, 15.449133, 15.223061 
00240, 0.040643, 13.910161, 14.958942, 15.227152 
00241, 0.039407, 14.044242, 15.130747, 15.231982 
00242, 0.038113, 14.189318, 15.317405, 15.237635 
00243, 0.037411, 14.270012, 15.421391, 15.243652 
00244, 0.036972, 14.321228, 15.487695, 15.249856 
00245, 0.036580, 14.367557, 15.548327, 15.256232 
00246, 0.036100, 14.424890, 15.624174, 15.262967 
00247, 0.035505, 14.497166, 15.720567, 15.270380 
00248, 0.034880, 14.574214, 15.824015, 15.278739 
00249, 0.034299, 14.647175, 15.922471, 15.288174 
00250, 0.033710, 14.722476, 16.024468, 15.298784 
00251, 0.033016, 14.812765, 16.147421, 15.310791 
00252, 0.032280, 14.910610, 16.281742, 15.324436 
00253, 0.031669, 14.993606, 16.396844, 15.339801 
00254, 0.031190, 15.059814, 16.489908, 15.356995 
00255, 0.030799, 15.114620, 16.568274, 15.376225 
00256, 0.030611, 15.141173, 16.607594, 15.397323 
00257, 0.030562, 15.148230, 16.619183, 15.419689 
00258, 0.030397, 15.171658, 16.653240, 15.442731 
00259, 0.030064, 15.219598, 16.721415, 15.465881 
00260, 0.029719, 15.269728, 16.792282, 15.488496 
00261, 0.029515, 15.299531, 16.833929, 15.510164 
00262, 0.029381, 15.319394, 16.861713, 15.531212 
00263, 0.029164, 15.351524, 16.907993, 15.552485 
00264, 0.028902, 15.390717, 16.965331, 15.574585 
00265, 0.028682, 15.423953, 17.014510, 15.597561 
00266, 0.028499, 15.451724, 17.055730, 15.621109 
00267, 0.028328, 15.477897, 17.094264, 15.644819 
00268, 0.028165, 15.502885, 17.130531, 15.668385 
00269, 0.028010, 15.526928, 17.164947, 15.691758 
00270, 0.027859, 15.550335, 17.198360, 15.715097 
00271, 0.027710, 15.573712, 17.232202, 15.738544 
00272, 0.027551, 15.598690, 17.269153, 15.762083 
00273, 0.027401, 15.622296, 17.304702, 15.785597 
00274, 0.027286, 15.640621, 17.332631, 15.809076 
00275, 0.027176, 15.658114, 17.359090, 15.832690 
00276, 0.027057, 15.677227, 17.387619, 15.856579 
00277, 0.026940, 15.696024, 17.415588, 15.880601 
00278, 0.026819, 15.715536, 17.444772, 15.904423 
00279, 0.026715, 15.732396, 17.470093, 15.927898 
00280, 0.026619, 15.748075, 17.493615, 15.951276 
00281, 0.026520, 15.764266, 17.517965, 15.974867 
00282, 0.026424, 15.779960, 17.541880, 15.998627 
00283, 0.026326, 15.796094, 17.566803, 16.022313 
00284, 0.026242, 15.810099, 17.588485, 16.045918 
00285, 0.026157, 15.824158, 17.609869, 16.069642 
00286, 0.026079, 15.837054, 17.629318, 16.093433 
00287, 0.025998, 15.850569, 17.649853, 16.116993 
00288, 0.025924, 15.863052, 17.668805, 16.140254 
00289, 0.025850, 15.875440, 17.687371, 16.163445 
00290, 0.025783, 15.886660, 17.704200, 16.186653 
00291, 0.025716, 15.898040, 17.721667, 16.209730 
00292, 0.025652, 15.908817, 17.738423, 16.232687 
00293, 0.025587, 15.919784, 17.755329, 16.255754 
00294, 0.025528, 15.929916, 17.770932, 16.278932 
00295, 0.025468, 15.940035, 17.786683, 16.301966 
00296, 0.025413, 15.949463, 17.801236, 16.324809 
00297, 0.025358, 15.958899, 17.815453, 16.347573 
00298, 0.025306, 15.967728, 17.828753, 16.370159 
00299, 0.025256, 15.976352, 17.841936, 16.392426 
00300, 0.025208, 15.984588, 17.854454, 16.414503 
00301, 0.025161, 15.992648, 17.866652, 16.436545 
00302, 0.025116, 16.000553, 17.878877, 16.458481 
00303, 0.025072, 16.008072, 17.890652, 16.480270 
00304, 0.025030, 16.015451, 17.902017, 16.502023 
00305, 0.024989, 16.022489, 17.912802, 16.523708 
00306, 0.024949, 16.029530, 17.923731, 16.545157 
00307, 0.024910, 16.036276, 17.934100, 16.566378 
00308, 0.024873, 16.042788, 17.943973, 16.587447 
00309, 0.024837, 16.049057, 17.953658, 16.608299 
00310, 0.024802, 16.055105, 17.963156, 16.628925 
00311, 0.024768, 16.061114, 17.972500, 16.649453 
00312, 0.024735, 16.066910, 17.981556, 16.669894 
00313, 0.024702, 16.072594, 17.990572, 16.690159 
00314, 0.024671, 16.078086, 17.999145, 16.710273 
00315, 0.024641, 16.083411, 18.007310, 16.730251 
00316, 0.024611, 16.088622, 18.015396, 16.749997 
00317, 0.024583, 16.093631, 18.023170, 16.769506 
00318, 0.024555, 16.098535, 18.030697, 16.788858 
00319, 0.024528, 16.103300, 18.038150, 16.808040 
00320, 0.024502, 16.107912, 18.045491, 16.827045 
00321, 0.024477, 16.112390, 18.052525, 16.845939 
00322, 0.024453, 16.116699, 18.059289, 16.864708 
00323, 0.024429, 16.120918, 18.065967, 16.883281 
00324, 0.024406, 16.125036, 18.072348, 16.901675 
00325, 0.024384, 16.129007, 18.078436, 16.919888 
00326, 0.024362, 16.132864, 18.084453, 16.937878 
00327, 0.024341, 16.136604, 18.090278, 16.955681 
00328, 0.024321, 16.140262, 18.095962, 16.973345 
00329, 0.024301, 16.143842, 18.101649, 16.990849 
00330, 0.024281, 16.147301, 18.107140, 17.008200 
00331, 0.024262, 16.150665, 18.112384, 17.025412 
00332, 0.024244, 16.153955, 18.117551, 17.042441 
00333, 0.024226, 16.157162, 18.122568, 17.059270 
00334, 0.024209, 16.160294, 18.127392, 17.075927 
00335, 0.024192, 16.163349, 18.132176, 17.092400 
00336, 0.024175, 16.166327, 18.136889, 17.108699 
00337, 0.024159, 16.169238, 18.141448, 17.124859 
00338, 0.024143, 16.172074, 18.145940, 17.140864 
00339, 0.024128, 16.174839, 18.150319, 17.156696 
00340, 0.024113, 16.177544, 18.154514, 17.172366 
00341, 0.024098, 16.180184, 18.158634, 17.187852 
00342, 0.024084, 16.182754, 18.162661, 17.203155 
00343, 0.024070, 16.185264, 18.166557, 17.218303 
